title,revenue,release,prod_budget,genre,company
102 Dalmatians,3,10,3,Comedy,Walt Disney Pictures
Tower Heist,2,11,2,Action,Universal Pictures
The Holiday,3,12,3,Comedy,Columbia Pictures
Enemy of the State,4,11,3,Action,Jerry Bruckheimer Films
It's Complicated,3,12,2,Comedy,Universal Pictures
Ocean's Thirteen,4,6,3,Crime,Village Roadshow Pictures
Open Season,3,9,3,Adventure,Sony Pictures Animation
Divergent,3,3,2,Adventure,Summit Entertainment
Enemy at the Gates,2,3,2,War,Paramount Pictures
The Rundown,2,9,3,Adventure,Columbia Pictures
Last Action Hero,3,6,3,Adventure,Columbia Pictures Corporation
Memoirs of a Geisha,3,12,3,Drama,DreamWorks SKG
The Fast and the Furious: Tokyo Drift,2,6,3,Action,Universal Pictures
Arthur Christmas,0,2,0,Drama,Columbia Pictures
Meet Joe Black,3,11,3,Fantasy,Universal Pictures
Collateral Damage,2,2,3,Action,David Foster Productions
All That Jazz,2,12,0,Drama,Twentieth Century Fox Film Corporation
Mirror Mirror,2,3,2,Adventure,Relativity Media
Scott Pilgrim vs. the World,1,7,2,Action,Universal Pictures
The Core,1,3,2,Action,Paramount Pictures
Nutty Professor II: The Klumps,2,7,3,Fantasy,Imagine Entertainment
Scooby-Doo,4,6,3,Mystery,Atlas Entertainment
Dredd,1,9,2,Action,DNA Films
Click,3,6,3,Comedy,Original Film
Creepshow,1,11,1,Horror,Warner Bros.
Cats & Dogs 2 : The Revenge of Kitty Galore,2,7,2,Comedy,Village Roadshow Pictures
Jumper,3,2,2,Adventure,Dune Entertainment
Hellboy II: The Golden Army,2,7,2,Adventure,Universal Pictures
Zodiac,2,3,2,Crime,Paramount Pictures
The 6th Day,2,11,3,Science Fiction,Phoenix Pictures
Bruce Almighty,7,5,3,Fantasy,Universal Pictures
The Expendables,4,8,2,Thriller,Millennium Films
Mission: Impossible,8,5,3,Adventure,Paramount Pictures
The Hunger Games,8,3,2,Science Fiction,Lionsgate
The Hangover Part II,3,5,2,Comedy,Legendary Pictures
Batman Returns,5,6,3,Action,PolyGram Filmed Entertainment
Over the Hedge,5,4,2,Comedy,Pacific Data Images (PDI)
Lilo & Stitch,2,6,3,Animation,Walt Disney Pictures
Charlotte's Web,2,12,3,Comedy,Paramount Pictures
Deep Impact,3,5,3,Action,Paramount Pictures
RED 2,0,7,2,Action,DC Comics
The Longest Yard,3,5,3,Comedy,Paramount Pictures
Alvin and the Chipmunks: Chipwrecked,4,12,2,Comedy,Fox 2000 Pictures
Grown Ups 2,3,7,2,Comedy,Columbia Pictures
Get Smart,3,6,2,Action,Village Roadshow Pictures
Something's Gotta Give,4,12,3,Drama,Columbia Pictures Corporation
Shutter Island,4,2,2,Drama,Paramount Pictures
Four Christmases,2,11,2,Comedy,New Line Cinema
Robots,4,3,2,Animation,Blue Sky Studios
Face/Off,4,6,3,Action,Paramount Pictures
Bedtime Stories,3,12,2,Fantasy,Walt Disney Pictures
Road to Perdition,3,7,3,Thriller,DreamWorks SKG
Just Go with It,3,2,2,Romance,Columbia Pictures
Con Air,4,6,3,Action,Jerry Bruckheimer Films
Eagle Eye,3,9,2,Mystery,DreamWorks SKG
Cold Mountain,3,12,3,Drama,Miramax Films
The Book of Eli,2,1,2,Action,Alcon Entertainment
Flubber,3,11,3,Comedy,Walt Disney Pictures
The Haunting,2,7,3,Horror,DreamWorks
Space Jam,4,11,3,Animation,Warner Bros. Family Entertainment
The Pink Panther,0,1,0,Action,Columbia Pictures
The Day the Earth Stood Still,3,12,2,Drama,Twentieth Century Fox Film Corporation
Conspiracy Theory,3,8,3,Action,Silver Pictures
Fury,3,10,2,War,Columbia Pictures
Six Days Seven Nights,3,6,3,Action,Caravan Pictures
Yogi Bear,3,12,2,Comedy,De Line Pictures
Spirit: Stallion of the Cimarron,2,5,3,Western,DreamWorks SKG
Zookeeper,2,7,2,Comedy,Columbia Pictures
Lost in Space,3,4,3,Adventure,New Line Cinema
The Manchurian Candidate,2,7,3,Drama,Paramount Pictures
Déjà Vu,0,4,0,Romance,"Rainbow Film Company, The"
Hotel Transylvania 2,5,9,2,Animation,Columbia Pictures
Fantasia 2000,2,12,3,Animation,Walt Disney Pictures
The Time Machine,2,3,3,Science Fiction,DreamWorks SKG
Mighty Joe Young,0,12,3,Action,Walt Disney Pictures
