company,release,prod_budget,revenue,genre,title
Walt Disney Pictures,5,2,3,Animation,Dinosaur
Twentieth Century Fox Film Corporation,12,2,2,Adventure,Night at the Museum: Secret of the Tomb
Other,10,2,2,Animation,Megamind
Other,11,2,5,Adventure,Harry Potter and the Philosopher's Stone
Universal Pictures,7,2,1,Fantasy,R.I.P.D.
Walt Disney Pictures,7,2,4,Adventure,Pirates of the Caribbean: The Curse of the Black Pearl
Lionsgate,11,2,4,Science Fiction,The Hunger Games: Mockingjay - Part 1
Columbia Pictures,5,2,4,Thriller,The Da Vinci Code
Other,3,1,3,Animation,Rio 2
Twentieth Century Fox Film Corporation,4,2,3,Adventure,X2
Universal Pictures,4,2,3,Action,Fast Five
Village Roadshow Pictures,11,2,2,Adventure,Sherlock Holmes: A Game of Shadows
Other,4,2,2,Adventure,Clash of the Titans
TriStar Pictures,6,1,2,Action,Total Recall
Touchstone Pictures,8,2,1,Adventure,The 13th Warrior
Universal Pictures,8,2,2,Action,The Bourne Legacy
Other,6,2,2,Action,Batman & Robin
Other,11,2,2,Family,How the Grinch Stole Christmas
Lions Gate Films,5,2,3,Action,The Day After Tomorrow
Paramount Pictures,5,2,4,Adventure,Mission: Impossible II
Warner Bros.,3,2,2,Drama,The Perfect Storm
Other,6,2,2,Adventure,Fantastic 4: Rise of the Silver Surfer
Other,11,2,3,Adventure,Life of Pi
Columbia Pictures,2,2,2,Thriller,Ghost Rider
Other,7,1,2,Action,Jason Bourne
Columbia Pictures,6,2,2,Action,Charlie's Angels: Full Throttle
Twentieth Century Fox Film Corporation,5,2,2,Science Fiction,Prometheus
Columbia Pictures,7,2,1,Family,Stuart Little 2
TriStar Pictures,8,1,2,Science Fiction,Elysium
Other,6,2,1,Action,The Chronicles of Riddick
Columbia Pictures,1,1,2,Action,RoboCop
Village Roadshow Pictures,5,2,1,Action,Speed Racer
Columbia Pictures,12,2,1,Comedy,How Do You Know
Other,6,2,2,Action,Knight and Day
Universal Pictures,4,2,2,Action,Oblivion
Other,5,2,5,Science Fiction,Star Wars: Episode III - Revenge of the Sith
Other,5,2,4,Adventure,Star Wars: Episode II - Attack of the Clones
Walt Disney Pictures,11,2,4,Animation,"Monsters, Inc."
Twentieth Century Fox Film Corporation,7,2,2,Action,The Wolverine
Other,5,2,5,Adventure,Star Wars: Episode I - The Phantom Menace
Other,3,2,3,Adventure,The Croods
Other,1,1,1,Fantasy,Asterix at the Olympic Games
Other,6,2,1,Drama,Windtalkers
Universal Pictures,4,1,1,Action,The Huntsman: Winter's War
Paramount Pictures,8,2,2,Science Fiction,Teenage Mutant Ninja Turtles
Warner Bros.,9,1,4,Science Fiction,Gravity
Universal Pictures,2,2,2,Action,Dante's Peak
Paramount Pictures,6,2,2,Fantasy,Teenage Mutant Ninja Turtles: Out of the Shadows
Twentieth Century Fox Film Corporation,8,1,1,Action,Fantastic Four
Other,10,2,3,Action,Night at the Museum
New Line Cinema,5,1,2,Action,San Andreas
Other,12,2,3,Adventure,Tomorrow Never Dies
Other,6,2,2,Drama,The Patriot
Village Roadshow Pictures,12,2,2,Thriller,Ocean's Twelve
Other,6,2,3,Action,Mr. & Mrs. Smith
Summit Entertainment,3,1,2,Adventure,Insurgent
Miramax Films,12,2,1,Drama,The Aviator
Twentieth Century Fox Film Corporation,12,2,2,Comedy,Gulliver's Travels
Other,1,2,1,Action,The Green Hornet
Other,3,1,2,Action,300: Rise of an Empire
Columbia Pictures,7,1,3,Animation,The Smurfs
Walt Disney Pictures,4,2,1,Animation,Home on the Range
Summit Entertainment,3,1,1,Adventure,Allegiant
DreamWorks SKG,9,1,2,Action,Real Steel
Columbia Pictures,7,1,2,Fantasy,The Smurfs 2
Twentieth Century Fox Film Corporation,6,2,2,Action,Speed 2: Cruise Control
Summit Entertainment,10,1,1,Science Fiction,Ender's Game
Other,6,2,2,Action,Live Free or Die Hard
Other,12,2,5,Adventure,The Lord of the Rings: The Fellowship of the Ring
Other,6,2,1,Action,Around the World in 80 Days
Columbia Pictures,12,2,1,Drama,Ali
Other,11,0,0,Comedy,The Cat in the Hat
Twentieth Century Fox Film Corporation,7,2,2,Action,"I, Robot"
Other,5,2,2,Drama,Kingdom of Heaven
Columbia Pictures,12,2,2,Animation,Stuart Little
Walt Disney Pictures,12,1,2,Romance,The Princess and the Frog
Twentieth Century Fox Film Corporation,9,1,3,Drama,The Martian
DreamWorks SKG,7,2,1,Action,The Island
New Line Cinema,4,1,1,Comedy,Town & Country
Other,6,2,2,Action,Gone in Sixty Seconds
DreamWorks SKG,5,2,3,Action,Gladiator
DreamWorks SKG,6,2,2,Action,Minority Report
Other,11,2,5,Adventure,Harry Potter and the Chamber of Secrets
Other,11,2,3,Adventure,Casino Royale
Twentieth Century Fox Film Corporation,7,2,3,Thriller,Planet of the Apes
Other,7,2,4,Action,Terminator 2: Judgment Day
Universal Pictures,7,1,1,History,Public Enemies
Other,11,1,2,Drama,American Gangster
Twentieth Century Fox Film Corporation,7,2,3,Action,True Lies
Columbia Pictures,6,1,1,Thriller,The Taking of Pelham 1 2 3
Paramount Pictures,12,1,2,Comedy,Little Fockers
Columbia Pictures,8,1,1,Action,The Other Guys
Other,6,2,2,Action,Eraser
Columbia Pictures,12,1,2,Drama,Django Unchained
Walt Disney Pictures,6,2,1,Drama,The Hunchback of Notre Dame
Walt Disney Pictures,12,2,1,Adventure,The Emperor's New Groove
Other,8,1,2,Action,The Expendables 2
Walt Disney Pictures,11,2,2,Adventure,National Treasure
Other,12,1,2,Fantasy,Eragon
Village Roadshow Pictures,10,1,1,Family,Where the Wild Things Are
Other,5,1,2,Animation,Epic
Columbia Pictures,12,1,2,Action,The Tourist
Other,11,2,2,Action,End of Days
Other,12,1,1,Drama,Blood Diamond
Paramount Pictures,12,1,2,Crime,The Wolf of Wall Street
Warner Bros.,5,2,3,Action,Batman Forever
TriStar Pictures,11,2,1,Adventure,Starship Troopers
Other,10,1,1,Drama,Cloud Atlas
Village Roadshow Pictures,7,1,1,Animation,Legend of the Guardians: The Owls of Ga'Hoole
Village Roadshow Pictures,7,2,1,Action,Catwoman
Paramount Pictures,7,1,2,Action,Hercules
Walt Disney Pictures,11,2,1,Adventure,Treasure Planet
Universal Pictures,6,1,1,Adventure,Land of the Lost
Other,8,1,1,Action,The Expendables 3
Other,12,1,1,Action,Point Break
New Line Cinema,2,1,0,Fantasy,Son of the Mask
Other,11,1,1,Thriller,In the Heart of the Sea
Village Roadshow Pictures,8,2,1,Action,The Adventures of Pluto Nash
Universal Pictures,3,1,1,War,Green Zone
Other,11,1,2,Animation,The Peanuts Movie
Other,9,1,1,Crime,The Spanish Prisoner
Universal Pictures,4,2,3,Adventure,The Mummy Returns
Miramax Films,12,2,2,Drama,Gangs of New York
Other,12,1,1,Drama,The Flowers of War
Columbia Pictures,6,1,1,Animation,Surf's Up
Paramount Pictures,6,1,1,Action,The Stepford Wives
Other,12,2,1,Action,Black Hawk Down
Other,8,0,1,Comedy,The Campaign
Columbia Pictures,5,2,2,Adventure,The Fifth Element
New Line Cinema,5,1,2,Comedy,Sex and the City 2
DreamWorks SKG,3,2,1,Adventure,The Road to El Dorado
Other,6,1,4,Animation,Ice Age: Continental Drift
Walt Disney Pictures,3,1,3,Romance,Cinderella
Other,12,1,1,Fantasy,The Lovely Bones
Other,5,1,5,Animation,Finding Nemo
Other,12,1,5,Adventure,The Lord of the Rings: The Return of the King
Other,12,1,5,Adventure,The Lord of the Rings: The Two Towers
Other,12,1,1,Adventure,Seventh Son
Paramount Pictures,6,2,2,Adventure,Lara Croft: Tomb Raider
Other,4,1,1,Thriller,Transcendence
Other,7,2,3,Adventure,Jurassic Park III
Other,8,1,3,Thriller,Rise of the Planet of the Apes
Paramount Pictures,2,1,1,Adventure,The Spiderwick Chronicles
Other,2,1,2,Action,A Good Day to Die Hard
Other,4,2,1,Western,The Alamo
Walt Disney Pictures,11,1,4,Action,The Incredibles
Other,12,2,1,Action,Cutthroat Island
Other,2,1,2,Adventure,Percy Jackson & the Olympians: The Lightning Thief
Other,7,2,4,Action,Men in Black
Other,10,2,3,Animation,Toy Story 2
Twentieth Century Fox Film Corporation,11,1,1,Action,Unstoppable
New Line Cinema,8,1,2,Action,Rush Hour 2
DreamWorks SKG,7,2,1,Drama,What Lies Beneath
Columbia Pictures,9,1,2,Animation,Cloudy with a Chance of Meatballs
Other,6,1,5,Animation,Ice Age: Dawn of the Dinosaurs
New Line Cinema,12,1,1,Adventure,The Secret Life of Walter Mitty
Columbia Pictures,11,2,2,Action,Charlie's Angels
Other,10,1,2,Drama,The Departed
Walt Disney Pictures,6,2,2,Animation,Mulan
DreamWorks SKG,8,1,1,Action,Tropic Thunder
Columbia Pictures,12,1,2,Thriller,The Girl with the Dragon Tattoo
Twentieth Century Fox Film Corporation,5,2,3,Action,Die Hard: With a Vengeance
Village Roadshow Pictures,12,1,3,Action,Sherlock Holmes
Paramount Pictures,8,1,1,Drama,Ben-Hur
Walt Disney Pictures,6,2,2,Animation,Atlantis: The Lost Empire
Regency Enterprises,12,0,1,Adventure,Alvin and the Chipmunks: The Road Chip
United Artists,12,1,1,Drama,Valkyrie
Columbia Pictures,6,1,1,Comedy,You Don't Mess with the Zohan
Columbia Pictures,7,1,2,Action,Pixels
DreamWorks SKG,6,2,2,Drama,A.I. Artificial Intelligence
Walt Disney Pictures,11,1,1,Thriller,The Haunted Mansion
Warner Bros.,7,2,2,Drama,Contact
Columbia Pictures,8,2,2,Action,Hollow Man
Universal Pictures,4,1,1,Crime,The Interpreter
Other,8,1,1,Adventure,Percy Jackson: Sea of Monsters
Paramount Pictures,7,2,1,Action,Lara Croft Tomb Raider: The Cradle of Life
Summit Entertainment,6,1,2,Action,Now You See Me 2
Paramount Pictures,4,1,1,Thriller,The Saint
Universal Pictures,11,2,1,Action,Spy Game
Other,3,2,1,Science Fiction,Mission to Mars
Other,4,1,3,Animation,Rio
Other,12,2,1,Comedy,Bicentennial Man
Twentieth Century Fox Film Corporation,4,2,0,Science Fiction,Volcano
Columbia Pictures,3,2,1,Crime,The Devil's Own
Paramount Pictures,7,2,1,Drama,K-19: The Widowmaker
Universal Pictures,4,1,1,Adventure,Conan the Barbarian
Miramax Films,6,1,1,Romance,Cinderella Man
Other,11,1,1,Fantasy,The Nutcracker: The Untold Story
Universal Pictures,7,1,1,Drama,Seabiscuit
Universal Pictures,5,2,4,Action,Twister
DreamWorks SKG,12,2,3,Adventure,Cast Away
Other,11,1,2,Animation,Happy Feet
Universal Pictures,7,1,2,Action,The Bourne Supremacy
Columbia Pictures,7,2,2,Action,Air Force One
Village Roadshow Pictures,12,1,3,Thriller,Ocean's Eleven
Other,8,1,1,Adventure,The Three Musketeers
Columbia Pictures,9,1,2,Animation,Hotel Transylvania
Walt Disney Pictures,11,1,2,Comedy,Enchanted
Universal Pictures,2,1,1,Action,Safe House
Walt Disney Pictures,10,1,2,Comedy,102 Dalmatians
Universal Pictures,11,1,1,Action,Tower Heist
Columbia Pictures,12,1,1,Comedy,The Holiday
Other,11,2,2,Action,Enemy of the State
Universal Pictures,12,1,1,Comedy,It's Complicated
Village Roadshow Pictures,6,1,2,Crime,Ocean's Thirteen
Other,9,1,1,Adventure,Open Season
Summit Entertainment,3,1,2,Adventure,Divergent
Paramount Pictures,3,1,1,War,Enemy at the Gates
Columbia Pictures,9,1,1,Adventure,The Rundown
Columbia Pictures,6,2,1,Adventure,Last Action Hero
DreamWorks SKG,12,1,1,Drama,Memoirs of a Geisha
Universal Pictures,6,1,1,Action,The Fast and the Furious: Tokyo Drift
Columbia Pictures,2,0,0,Drama,Arthur Christmas
Universal Pictures,11,2,1,Fantasy,Meet Joe Black
Other,2,1,1,Action,Collateral Damage
Twentieth Century Fox Film Corporation,12,0,1,Drama,All That Jazz
Other,3,1,1,Adventure,Mirror Mirror
Universal Pictures,7,1,1,Action,Scott Pilgrim vs. the World
Paramount Pictures,3,1,1,Action,The Core
Other,7,1,1,Fantasy,Nutty Professor II: The Klumps
Other,6,1,2,Mystery,Scooby-Doo
Other,9,1,1,Action,Dredd
Other,6,1,2,Comedy,Click
Warner Bros.,11,1,1,Horror,Creepshow
Village Roadshow Pictures,7,1,1,Comedy,Cats & Dogs 2 : The Revenge of Kitty Galore
Other,2,1,2,Adventure,Jumper
Universal Pictures,7,1,1,Adventure,Hellboy II: The Golden Army
Paramount Pictures,3,1,1,Crime,Zodiac
Other,11,1,1,Science Fiction,The 6th Day
Universal Pictures,5,1,3,Fantasy,Bruce Almighty
Other,8,1,2,Thriller,The Expendables
Paramount Pictures,5,1,3,Adventure,Mission: Impossible
Lionsgate,3,1,3,Science Fiction,The Hunger Games
Other,5,1,2,Comedy,The Hangover Part II
Other,6,2,2,Action,Batman Returns
Other,4,1,2,Comedy,Over the Hedge
Walt Disney Pictures,6,1,1,Animation,Lilo & Stitch
Paramount Pictures,12,1,1,Comedy,Charlotte's Web
Paramount Pictures,5,1,1,Action,Deep Impact
Other,7,1,0,Action,RED 2
Paramount Pictures,5,1,1,Comedy,The Longest Yard
Other,12,1,2,Comedy,Alvin and the Chipmunks: Chipwrecked
Columbia Pictures,7,1,2,Comedy,Grown Ups 2
Village Roadshow Pictures,6,1,2,Action,Get Smart
Columbia Pictures,12,1,2,Drama,Something's Gotta Give
Paramount Pictures,2,1,2,Drama,Shutter Island
New Line Cinema,11,1,1,Comedy,Four Christmases
Other,3,1,2,Animation,Robots
Paramount Pictures,6,1,2,Action,Face/Off
Walt Disney Pictures,12,1,1,Fantasy,Bedtime Stories
DreamWorks SKG,7,1,1,Thriller,Road to Perdition
Columbia Pictures,2,1,1,Romance,Just Go with It
Other,6,1,2,Action,Con Air
DreamWorks SKG,9,1,1,Mystery,Eagle Eye
Miramax Films,12,1,1,Drama,Cold Mountain
Other,1,1,1,Action,The Book of Eli
Walt Disney Pictures,11,1,2,Comedy,Flubber
Other,7,1,1,Horror,The Haunting
Other,11,1,2,Animation,Space Jam
Columbia Pictures,1,0,0,Action,The Pink Panther
Twentieth Century Fox Film Corporation,12,1,2,Drama,The Day the Earth Stood Still
Other,8,1,1,Action,Conspiracy Theory
Columbia Pictures,10,1,1,War,Fury
Other,6,1,1,Action,Six Days Seven Nights
Other,12,1,1,Comedy,Yogi Bear
DreamWorks SKG,5,1,1,Western,Spirit: Stallion of the Cimarron
Columbia Pictures,7,1,1,Comedy,Zookeeper
New Line Cinema,4,1,1,Adventure,Lost in Space
Paramount Pictures,7,1,1,Drama,The Manchurian Candidate
Other,4,0,0,Romance,Déjà Vu
Columbia Pictures,9,1,2,Animation,Hotel Transylvania 2
Walt Disney Pictures,12,1,1,Animation,Fantasia 2000
DreamWorks SKG,3,1,1,Science Fiction,The Time Machine
Walt Disney Pictures,12,2,0,Action,Mighty Joe Young
Village Roadshow Pictures,6,2,1,Action,Swordfish
Other,10,1,1,Action,The Legend of Zorro
Other,10,2,1,Drama,What Dreams May Come
New Line Cinema,11,1,0,Comedy,Little Nicky
The Weinstein Company,8,1,1,Adventure,The Brothers Grimm
Other,12,1,1,Comedy,Mars Attacks!
Other,9,0,0,Mystery,Evolution
Other,9,0,1,Action,The Edge
Touchstone Pictures,9,1,1,Action,Surrogates
New Line Cinema,12,1,1,Drama,Thirteen Days
Universal Pictures,12,1,1,Action,Daylight
Other,12,1,1,Animation,Walking With Dinosaurs
Other,5,1,1,Action,Battlefield Earth
Other,11,1,1,Animation,Looney Tunes: Back in Action
The Weinstein Company,12,1,1,Drama,Nine
Paramount Pictures,11,1,1,Action,Timeline
Other,12,1,1,Drama,The Postman
Other,11,2,1,Adventure,Babe: Pig in the City
Summit Entertainment,10,1,1,Fantasy,The Last Witch Hunter
Village Roadshow Pictures,11,1,1,Thriller,Red Planet
Other,12,1,1,Adventure,Arthur and the Invisibles
Other,10,0,1,Documentary,Oceans
Other,5,1,1,Thriller,A Sound of Thunder
Other,2,2,1,Action,Pompeii
Other,10,1,0,Comedy,Top Cat Begins
Other,12,1,2,Drama,A Beautiful Mind
Walt Disney Pictures,6,1,5,Family,The Lion King
New Line Cinema,1,1,2,Adventure,Journey 2: The Mysterious Island
Columbia Pictures,9,1,2,Animation,Cloudy with a Chance of Meatballs 2
Universal Pictures,9,1,2,Crime,Red Dragon
Other,3,2,1,Western,Hidalgo
Columbia Pictures,11,1,1,Comedy,Jack and Jill
Other,6,1,2,Action,2 Fast 2 Furious
Other,7,1,1,Adventure,The Little Prince
Village Roadshow Pictures,8,1,1,Science Fiction,The Invasion
Universal Pictures,6,1,1,Action,The Adventures of Rocky & Bullwinkle
Universal Pictures,6,1,4,Animation,The Secret Life of Pets
Twentieth Century Fox Film Corporation,7,1,1,Fantasy,The League of Extraordinary Gentlemen
Universal Pictures,6,1,5,Animation,Despicable Me 2
Twentieth Century Fox Film Corporation,6,1,5,Action,Independence Day
Universal Pictures,5,1,2,Adventure,The Lost World: Jurassic Park
DreamWorks SKG,5,1,3,Family,Madagascar
Universal Pictures,9,1,1,Drama,Children of Men
Twentieth Century Fox Film Corporation,7,1,2,Adventure,X-Men
Universal Pictures,6,1,2,Action,Wanted
Other,6,1,3,Action,The Rock
Other,3,1,4,Animation,Ice Age: The Meltdown
